Date,Traded Companies,Stock Symbol,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.,Sector
2013-06-02,Zenith Finance Limited,,1,96.00,96.00,96.00,12.00,1152.00,95.00,1.00 ,
2013-06-03,Western Development Bank Limited,,2,64.00,64.00,64.00,24.00,1536.00,65.00,-1.00 ,
2013-06-04,Zenith Finance Limited,,2,97.00,96.00,96.00,22.00,2122.00,96.00,0.00 ,
2013-06-05,Western Development Bank Limited,,12,74.00,71.00,74.00,274.00,19882.00,70.00,4.00 ,
2013-06-06,Zenith Finance Limited,,4,95.00,93.00,93.00,106.00,9942.00,96.00,-3.00 ,
2013-06-09,Zenith Finance Limited,,5,92.00,90.00,90.00,198.00,18088.00,93.00,-3.00 ,
2013-06-10,Zenith Finance Limited,,4,89.00,88.00,88.00,244.00,21572.00,90.00,-2.00 ,
2013-06-11,Zenith Finance Limited,,8,92.00,89.00,91.00,112.00,10172.00,88.00,3.00 ,
2013-06-12,Zenith Finance Limited,,29,96.00,90.00,94.00,1468.00,133852.00,91.00,3.00 ,
2013-06-13,Zenith Finance Limited,,2,96.00,95.00,96.00,300.00,28600.00,94.00,2.00 ,
2013-06-16,Zenith Finance Limited,,8,95.00,91.00,91.00,388.00,36150.00,96.00,-5.00 ,
2013-06-17,Zenith Finance Limited,,6,92.00,90.00,90.00,142.00,12838.00,91.00,-1.00 ,
2013-06-18,Zenith Finance Limited,,17,91.00,89.00,91.00,606.00,54636.00,90.00,1.00 ,
2013-06-19,Western Development Bank Limited,,3,72.00,71.00,71.00,40.00,2860.00,73.00,-2.00 ,
2013-06-20,Zenith Finance Limited,,1,92.00,92.00,92.00,10.00,920.00,91.00,1.00 ,
2013-06-23,Zenith Finance Limited,,26,97.00,88.00,97.00,1036.00,93598.00,92.00,5.00 ,
2013-06-24,Zenith Finance Limited,,3,100.00,98.00,100.00,36.00,3566.00,97.00,3.00 ,
2013-06-25,Zenith Finance Limited,,19,98.00,94.00,95.00,1316.00,125384.00,100.00,-5.00 ,
2013-06-26,Zenith Finance Limited,,32,94.00,90.00,91.00,1052.00,96296.00,95.00,-4.00 ,
2013-06-27,Zenith Finance Limited,,22,100.00,90.00,100.00,742.00,71878.00,91.00,9.00 ,
2013-06-30,Zenith Finance Limited,,1,98.00,98.00,98.00,44.00,4312.00,100.00,-2.00 ,
2013-07-01,Zenith Finance Limited,,8,97.00,91.00,91.00,652.00,60522.00,98.00,-7.00 ,
2013-07-02,Zenith Finance Limited,,18,92.00,90.00,92.00,696.00,63078.00,91.00,1.00 ,
2013-07-03,Zenith Finance Limited,,14,91.00,90.00,91.00,626.00,56784.00,92.00,-1.00 ,
2013-07-04,Zenith Finance Limited,,2,91.00,90.00,90.00,34.00,3082.00,91.00,-1.00 ,
2013-07-07,Zenith Finance Limited,,10,91.00,90.00,90.00,154.00,13930.00,90.00,0.00 ,
2013-07-08,Western Development Bank Limited,,7,69.00,66.00,69.00,132.00,8988.00,67.00,2.00 ,
2013-07-09,Zenith Finance Limited,,10,94.00,90.00,94.00,268.00,24544.00,90.00,4.00 ,
2013-07-10,Zenith Finance Limited,,3,97.00,95.00,97.00,108.00,10360.00,94.00,3.00 ,
2013-07-11,Zenith Finance Limited,,9,96.00,93.00,95.00,618.00,58076.00,97.00,-2.00 ,
2013-07-14,Zenith Finance Limited,,6,95.00,95.00,95.00,120.00,11400.00,95.00,0.00 ,
2013-07-15,Zenith Finance Limited,,1,96.00,96.00,96.00,44.00,4224.00,95.00,1.00 ,
2013-07-16,Zenith Finance Limited,,1,95.00,95.00,95.00,48.00,4560.00,96.00,-1.00 ,
2013-07-17,Western Development Bank Limited,,1,80.00,80.00,80.00,10.00,800.00,79.00,1.00 ,
2013-07-18,Zenith Finance Limited,,1,94.00,94.00,94.00,44.00,4136.00,95.00,-1.00 ,
2013-07-21,Zenith Finance Limited,,1,95.00,95.00,95.00,50.00,4750.00,94.00,1.00 ,
2013-07-22,United Finance Ltd.,UFL,1,135.00,135.00,135.00,681.00,91935.00,133.00,2.00 ,Finance
2013-07-23,Western Development Bank Limited,,3,81.00,80.00,81.00,72.00,5820.00,81.00,0.00 ,
2013-07-24,Western Development Bank Limited,,1,81.00,81.00,81.00,60.00,4860.00,81.00,0.00 ,
2013-07-25,Western Development Bank Limited,,6,84.00,82.00,84.00,288.00,23842.00,81.00,3.00 ,
2013-07-28,Zenith Finance Limited,,2,94.00,93.00,93.00,66.00,6160.00,95.00,-2.00 ,
2013-07-29,Zenith Finance Limited,,13,94.00,94.00,94.00,346.00,32524.00,93.00,1.00 ,
2013-07-30,Zenith Finance Limited,,8,93.00,90.00,91.00,438.00,39832.00,94.00,-3.00 ,
2013-07-31,Zenith Finance Limited,,3,92.00,90.00,92.00,102.00,9260.00,91.00,1.00 ,
2013-08-01,Western Development Bank Limited,,6,82.00,79.00,79.00,236.00,19092.00,83.00,-4.00 ,
2013-08-04,Western Development Bank Limited,,2,81.00,80.00,81.00,48.00,3864.00,79.00,2.00 ,
2013-08-05,Western Development Bank Limited,,4,82.00,81.00,82.00,72.00,5856.00,81.00,1.00 ,
2013-08-06,Western Development Bank Limited,,33,90.00,82.00,90.00,588.00,52104.00,82.00,8.00 ,
2013-08-07,Western Development Bank Limited,,28,94.00,91.00,91.00,1406.00,129184.00,90.00,1.00 ,
2013-08-08,Western Development Bank Limited,,5,91.00,90.00,91.00,344.00,31212.00,91.00,0.00 ,
2013-08-11,Zenith Finance Limited,,12,92.00,90.00,92.00,304.00,27662.00,92.00,0.00 ,
2013-08-12,Zenith Finance Limited,,13,91.00,87.00,88.00,562.00,49992.00,92.00,-4.00 ,
2013-08-13,Zenith Finance Limited,,6,89.00,88.00,89.00,520.00,46240.00,88.00,1.00 ,
2013-08-14,Zenith Finance Limited,,16,91.00,88.00,89.00,734.00,65580.00,89.00,0.00 ,
2013-08-15,Zenith Finance Limited,,8,88.00,86.00,87.00,284.00,24668.00,89.00,-2.00 ,
2013-08-18,Zenith Finance Limited,,24,87.00,86.00,86.00,388.00,33644.00,87.00,-1.00 ,
2013-08-19,Zenith Finance Limited,,11,87.00,85.00,87.00,768.00,66312.00,86.00,1.00 ,
2013-08-20,Western Development Bank Limited,,8,89.00,87.00,89.00,756.00,67140.00,89.00,0.00 ,
2013-08-25,Zenith Finance Limited,,7,89.00,86.00,89.00,916.00,80632.00,87.00,2.00 ,
2013-08-26,Zenith Finance Limited,,3,90.00,89.00,89.00,96.00,8592.00,89.00,0.00 ,
2013-08-27,Zenith Finance Limited,,1,89.00,89.00,89.00,44.00,3916.00,89.00,0.00 ,
2013-08-29,Zenith Finance Limited,,1,88.00,88.00,88.00,22.00,1936.00,89.00,-1.00 ,
2013-09-01,Zenith Finance Limited,,6,88.00,86.00,87.00,246.00,21414.00,88.00,-1.00 ,
2013-09-02,Zenith Finance Limited,,7,88.00,85.00,88.00,358.00,30810.00,87.00,1.00 ,
2013-09-03,Zenith Finance Limited,,20,88.00,85.00,88.00,1365.00,117034.00,88.00,0.00 ,
2013-09-04,Western Development Bank Limited,,3,96.00,94.00,94.00,72.00,6876.00,96.00,-2.00 ,
2013-09-05,United Insurance Co. (Nepal) Ltd.,UIC,5,176.00,170.00,170.00,2136.00,366876.00,173.00,-3.00 ,Non Life Insurance
2013-09-08,United Insurance Co. (Nepal) Ltd.,UIC,2,167.00,167.00,167.00,364.00,60788.00,170.00,-3.00 ,Non Life Insurance
2013-09-09,Western Development Bank Limited,,4,93.00,93.00,93.00,400.00,37200.00,94.00,-1.00 ,
2013-09-10,Zenith Finance Limited,,2,87.00,87.00,87.00,46.00,4002.00,88.00,-1.00 ,
